2020-04-29T14:15:13.367, i=0
2020-04-29T14:16:10.546, i=100
2020-04-29T14:16:12.411, i=200
2020-04-29T14:16:13.608, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@18a299a7)
2020-04-29T14:16:13.608, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@e51a926)
2020-04-29T14:16:13.608, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@301b321a)
2020-04-29T14:16:13.608, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@a218fd5)
2020-04-29T14:16:13.608, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@6424097)
2020-04-29T14:16:13.608, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@5d9c1e0)
2020-04-29T14:16:13.609, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@6c3bb8a3)
2020-04-29T14:16:13.609, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@6a62ddd6)
2020-04-29T14:16:13.609, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@7e307ef5)
2020-04-29T14:16:13.609, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@35ad7612)
2020-04-29T14:16:13.609, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@4623ea4)
2020-04-29T14:16:13.609, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@7812cf93)
2020-04-29T14:16:13.609, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@5a8d1b2)
2020-04-29T14:16:13.609, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@5b6b2af3)
2020-04-29T14:16:13.609, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@4e69b824)
2020-04-29T14:16:13.609, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@20e9882d)
2020-04-29T14:16:13.609, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@638ff8c3)
2020-04-29T14:16:13.609, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@61316af3)
2020-04-29T14:16:13.609, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@629a5669)
2020-04-29T14:16:13.609, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@ede12f7)
2020-04-29T14:16:13.609, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@120baa0f)
2020-04-29T14:16:13.610, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@78873c4f)
2020-04-29T14:16:13.610, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@481e1428)
2020-04-29T14:16:13.610, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@3629fe76)
2020-04-29T14:16:13.610, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@793d716e)
2020-04-29T14:16:13.610, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@38995f42)
2020-04-29T14:16:13.610, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@9ea32d)
2020-04-29T14:16:13.610, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@793d3706)
